iter	Logloss	Accuracy	Precision	Recall	F1
165	0.3483671228	0.8413246648	0.7507136061	0.6032110092	0.6689275117
166	0.3481199333	0.8417310037	0.7511870845	0.6047400612	0.6700550614
167	0.3478427938	0.8417310037	0.7507109005	0.6055045872	0.6703343208
168	0.3475697833	0.8417310037	0.7502365184	0.6062691131	0.6706131078
169	0.3471647849	0.8417310037	0.7511870845	0.6047400612	0.6700550614
170	0.3467327379	0.8417310037	0.7511870845	0.6047400612	0.6700550614
171	0.3463803919	0.8413246648	0.7507136061	0.6032110092	0.6689275117
172	0.3460318354	0.8413246648	0.7507136061	0.6032110092	0.6689275117
173	0.3457119613	0.8417310037	0.7521448999	0.6032110092	0.6694951209
174	0.3453971184	0.8415278342	0.7509505703	0.6039755352	0.6694915254
175	0.345298476	0.8413246648	0.7502374169	0.6039755352	0.6692079627
176	0.3449748277	0.8415278342	0.7509505703	0.6039755352	0.6694915254
177	0.3448009363	0.8417310037	0.7511870845	0.6047400612	0.6700550614
178	0.3446892974	0.8417310037	0.7511870845	0.6047400612	0.6700550614
179	0.3444896593	0.8425436814	0.7530864198	0.6062691131	0.6717492588
180	0.3440253326	0.8431531898	0.7547528517	0.6070336391	0.6728813559
181	0.3439090977	0.8443722064	0.7566287879	0.6108562691	0.6759729272
182	0.343502035	0.8443722064	0.7566287879	0.6108562691	0.6759729272
183	0.3431728821	0.844169037	0.7563981043	0.6100917431	0.6754126111
184	0.3428000841	0.8439658675	0.7556818182	0.6100917431	0.6751269036
185	0.3425486062	0.8439658675	0.7556818182	0.6100917431	0.6751269036
186	0.3422634571	0.8439658675	0.7556818182	0.6100917431	0.6751269036
187	0.3418679409	0.8443722064	0.7566287879	0.6108562691	0.6759729272
188	0.3417404178	0.8443722064	0.7566287879	0.6108562691	0.6759729272
189	0.3414508273	0.8443722064	0.7566287879	0.6108562691	0.6759729272
190	0.3413254325	0.844169037	0.7563981043	0.6100917431	0.6754126111
191	0.3412128478	0.844169037	0.7563981043	0.6100917431	0.6754126111
192	0.3407690021	0.8437626981	0.755450237	0.6093272171	0.6745662294
193	0.3406217664	0.8439658675	0.7556818182	0.6100917431	0.6751269036
194	0.3403645603	0.8443722064	0.7571157495	0.6100917431	0.6756985605
195	0.3400646291	0.8447785453	0.7575757576	0.6116207951	0.6768189509
196	0.3398695777	0.8447785453	0.7570888469	0.6123853211	0.6770921386
197	0.3397985835	0.8447785453	0.7570888469	0.6123853211	0.6770921386
198	0.3395978168	0.8447785453	0.7570888469	0.6123853211	0.6770921386
199	0.3392113632	0.8447785453	0.7570888469	0.6123853211	0.6770921386
200	0.3388967926	0.8451848842	0.7575471698	0.6139143731	0.6782094595
201	0.3386536737	0.8451848842	0.7575471698	0.6139143731	0.6782094595
202	0.3384207876	0.8455912231	0.758490566	0.6146788991	0.6790540541
203	0.3382365097	0.8455912231	0.7580037665	0.6154434251	0.6793248945
204	0.3380193184	0.8457943925	0.7587181904	0.6154434251	0.6796116505
205	0.3377748517	0.8462007314	0.7601510859	0.6154434251	0.6801858893
206	0.3373472324	0.8457943925	0.7587181904	0.6154434251	0.6796116505
207	0.3370782638	0.8466070703	0.7606032045	0.6169724771	0.6813001266
208	0.3367860303	0.8464039009	0.7593984962	0.6177370031	0.6812816189
209	0.336402997	0.8466070703	0.7601128881	0.6177370031	0.6815689582
210	0.3361625645	0.8466070703	0.7606032045	0.6169724771	0.6813001266
211	0.3360135517	0.8468102397	0.7613207547	0.6169724771	0.6815878378
212	0.335793731	0.8468102397	0.7613207547	0.6169724771	0.6815878378
213	0.3354082337	0.8470134092	0.7620396601	0.6169724771	0.6818757921
214	0.3350581582	0.8470134092	0.7620396601	0.6169724771	0.6818757921
215	0.3346544924	0.8468102397	0.7618147448	0.6162079511	0.6813186813
216	0.3344713115	0.8466070703	0.761589404	0.6154434251	0.6807610994
217	0.3342812462	0.8466070703	0.761589404	0.6154434251	0.6807610994
218	0.3339737963	0.8466070703	0.761589404	0.6154434251	0.6807610994
219	0.3337398528	0.8468102397	0.7618147448	0.6162079511	0.6813186813
220	0.3334070881	0.8468102397	0.7618147448	0.6162079511	0.6813186813
221	0.333132653	0.8474197481	0.7629839471	0.6177370031	0.6827207436
222	0.3328920204	0.8474197481	0.7629839471	0.6177370031	0.6827207436
223	0.3325942763	0.8476229175	0.7632075472	0.6185015291	0.683277027
224	0.3323421186	0.8480292564	0.7631578947	0.620795107	0.6846543002
225	0.3321623555	0.8482324258	0.7633802817	0.621559633	0.6852085967
226	0.3320611435	0.8482324258	0.7633802817	0.621559633	0.6852085967
